类型,题干,A,B,C,D,正确答案,解析,来源,出现次数,首次记录
单选题,"实验室水泵关闭前,阀门应该：（）",全开,全关,半开,无所谓,B,,接口直采,1,2026/9/18 12:50:37
单选题,实验室所有事件报告应形成的文件，内容不包括下列哪项？,事件的责任调查,事件的原因评估,预防类似事件发生的建议,事件的详细描述,A,,接口直采,1,2026/9/18 12:50:35
单选题,实验室仪器设备用电或线路发生故障着火时，应立即（），并组织人员用灭火器进行灭火。,将贵重仪器设备迅速转移,切断现场电源,将人员疏散,以上都是,B,,接口直采,1,2026/9/18 12:50:32
单选题,实验室用放射源一般较弱，常为微居里(μCi)或者毫居里(mCi)量级。1μCi换算成法定单位贝可（Bq）为：（）,3.7×103 Bq,7×104 Bq,3.7×106 Bq,3.7×108 Bq,B,,接口直采,1,2026/9/18 12:50:16
单选题,实验室在布局设计时，应重点考虑：（）,外通道、内通道,入口、门锁,面积、进深,以上均是,D,,接口直采,1,2026/9/18 12:50:27
单选题,实验室中常用的氧气钢瓶颜色为：（）,蓝色,黑色,红色,灰色,A,,接口直采,1,2026/9/18 12:50:23
单选题,实验室走廊净宽要满足安全疏散的要求，最小宽度为：（）,1米,1.4米,2米,2.4米,B,,接口直采,1,2026/9/18 12:50:27
单选题,实验室最常见的特种设备是：（）,压力容器,锅炉,起重机械,大型游乐设施,A,,接口直采,1,2026/9/18 12:50:30
单选题,实验台和实验柜的主要特点不包括：（）,需要附设水、电、燃气、负压吸引等各种管道,台面、柜壁等处需要做防腐蚀处理,满足存放各种形式、大小不一的实验器皿和各种试剂的需要,可以直接当办公桌使用,D,,接口直采,1,2026/9/18 12:50:38
单选题,实验完成后，废弃物及废液应如何处置？,倒入水槽中,分类收集后，送中转站暂存，然后交有资质的单位处理,倒入垃圾桶中,任意弃置,B,,接口直采,1,2026/9/18 12:50:20
单选题,实验用过的氰化钾溶液按哪一类废液收集处理？,一般无机物,一般有机物,含卤有机物,剧毒化学废液,D,,接口直采,1,2026/9/18 12:50:20
单选题,实验中溅入口中已下咽的强碱，先饮用大量水，再服用：（）,氢氧化铝膏，鸡蛋白,乙酸果汁，鸡蛋白,硫酸铜溶液（30g溶于一杯水中）催吐,牛奶,B,,接口直采,1,2026/9/18 12:50:15
单选题,实验中溅入口中已下咽的强酸，先饮用大量水，再服用：( ),氢氧化铝溶液，鸡蛋白,乙酸果汁，鸡蛋白,硫酸铜溶液（30g溶于一杯水中）催吐,以上都是,A,,接口直采,1,2026/9/18 12:50:15
单选题,实验中溅入口中已下咽的强酸，先饮用大量水，再服用（）。,氢氧化铝溶液，鸡蛋白,乙酸果汁，鸡蛋白,硫酸铜溶液（30g溶于一杯水中）催吐,以上都对,A,,接口直采,1,2026/9/18 12:50:15
单选题,实验中如遇刺激性及神经性中毒，先服牛奶或鸡蛋白使之缓和，再服用：( ),氢氧化铝膏，鸡蛋白,硫酸铜溶液（30g溶于一杯水中）催吐,乙酸果汁，鸡蛋白,以上都是,B,,接口直采,1,2026/9/18 12:50:15
单选题,实验中用到很多玻璃器皿，容易破碎，为避免造成割伤应该注意什么？,装配时不可用力过猛，用力处不可远离连接部位,不能口径不合而勉强连接,玻璃折断面需烧圆滑，不能有棱角,以上都是,D,,接口直采,1,2026/9/18 12:50:21
单选题,使网络服务器中充斥着大量要求回复的信息，消耗带宽，导致网络或系统停止正常服务，这属于什么攻击类型? ( ),拒绝服务,文件共享,BIND漏洞,远程过程调用,A,,接口直采,1,2026/9/18 12:50:42
单选题,使用（）的辐射工作单位的许可证，由国务院环保主管部门审批颁发；使用（）的辐射工作单位的许可证，由省级政府环保主管部门审批颁发。,I类放射性源和I类射线装置；II-V类放射源和射线装置,I类放射性源和I类射线装置；II-V类放射源和II类、II类射线装置,I类、II类放射性源和I类射线装置；III-V类放射源和射线装置,I类、II类放射性源和I类射线装置；III-V类放射源和II类、III类射线装置,B,,接口直采,1,2026/9/18 12:50:16
单选题,使用（）钢瓶时，操作者的双手、手套及工具等不得沾染油脂。,氢气瓶,氧气瓶,氮气瓶,氩气瓶,B,,接口直采,1,2026/9/18 12:50:23
单选题,使用（）时，操作者的双手、手套及工具等不得沾染油脂。,氢气瓶,氧气瓶,液化石油气钢瓶,氮气瓶,B,,接口直采,1,2026/9/18 12:50:23
单选题,使用车床切削工件时要先锁紧（）,尾座,尾座套筒,刀架,螺母,C,,接口直采,1,2026/9/18 12:50:37
单选题,使用的电气设备按有关安全规程，其外壳应（）防护措施。,无,有保护性接零或接地,有防锈漆,有绝缘塑料,B,,接口直采,1,2026/9/18 12:50:37
单选题,使用电气设备时，由于维护不当，当（）进入时可导致短路事故。,导电粉尘或纤维,强光辐射,高温环境,潮气,A,,接口直采,1,2026/9/18 12:50:37
单选题,使用干燥箱和恒温箱，应注意的事项有：( ),使用前检查电源，要有良好的接地线,箱内应保持清洁，放物网篮不得有锈，否则影响待干燥物品的洁净度,塑料、有机玻璃制品的加热温度不能超过60℃，玻璃制品的温度不能超过180℃，使用温度不能超过干燥箱的最高允许温度，用毕要及时切断电源,以上都对,D,,接口直采,1,2026/9/18 12:50:38
单选题,使用后的水工模型应如何放置?,放在仪器平台上,及时放入模型箱,随意放置,放在随手可即的地方,B,,接口直采,1,2026/9/18 12:50:37
单选题,使用碱金属引起燃烧应如何处理？,马上使用灭火器灭火,马上向燃烧处浇水灭火,马上用石棉布盖砂子盖住燃烧处，尽快移去临近其它溶剂，关闭热源和电源，再用灭火器灭火,以上都对,C,,接口直采,1,2026/9/18 12:50:15
单选题,使用剧毒化学品开展实验时，应严格执行（）人使用的要求，做好实验室通风换气和人员防护。,1,2,3,4,B,,接口直采,1,2026/9/18 12:50:25
单选题,使用离心机时下列哪种操作是错误的？,离心机必须盖紧盖子,不需要考虑离心管的对角平衡,液体不能超过离心管2/3,每次使用后要清洁离心机腔,B,,接口直采,1,2026/9/18 12:50:38
单选题,使用离子色谱仪时，氮气应将分压表调至：（）,0.1MPa,0.15MPa,0.2MPa,0.25MPa,C,,接口直采,1,2026/9/18 12:50:38
单选题,使用漏电保护器是为了防止：（）,触电事故,电压波动,电流过大,电流过小,A,,接口直采,1,2026/9/18 12:50:18
单选题,使用灭火器扑救火灾时要对准火焰的（）部位喷射。,上部,中部,根部,中上部,C,,接口直采,1,2026/9/18 12:50:32
单选题,使用灭火器扑救火灾时要对准火焰的什么部位喷射。,上部,中部,根部,中上部,C,,接口直采,1,2026/9/18 12:50:32
单选题,使用手持电动工具时，以下注意事项正确的是：（）,使用万能插座,使用漏电保护器,身体或衣服潮湿,保护接地,B,,接口直采,1,2026/9/18 12:50:37
单选题,使用手锯锯工件快要锯断时，哪种做法是正确的？,放慢锯削速度,加大锯削时的压力,锯削的速度可以加快,用榔头打断工件,A,,接口直采,1,2026/9/18 12:50:37
单选题,使用数控铣床上的“手动”方式进行操作前，操作者应留意当前（），确定不会撞到机床的其他设施后再执行操作指令。,刀具的位置,主轴转速,夹具位置,参数设置,A,,接口直采,1,2026/9/18 12:50:37
单选题,使用数控铣床时，操作者应定时检查：（）,润滑油油位,机床坐标系位置,电机,电源,A,,接口直采,1,2026/9/18 12:50:37
单选题,使用通风橱时，应拉下通风橱玻璃活动挡板至（）处，使胸部以上受玻璃视窗所屏护。,眼部,下巴,手肘,腰部,C,,接口直采,1,2026/9/18 12:50:38
单选题,"使用行车时,应注意：（）",学生可自行操作,学生可在老师指导下操作,持专业上岗证才能操作,有机动车驾驶执照可操作,C,,接口直采,1,2026/9/18 12:50:37
单选题,使用摇臂钻床工作结束时，正确的是：（）,戴好防护手套,将横臂降到一定位置,将横臂降到最低位置，主轴箱靠近主轴,不管横臂在何位置,C,,接口直采,1,2026/9/18 12:50:37
单选题,使用易燃易爆的化学药品，不正确的操作是：( ),可以用明火加热,在通风橱中进行操作,不可猛烈撞击,加热时使用水浴或油浴,A,,接口直采,1,2026/9/18 12:50:25
单选题,使用钻床时，是否可以戴手套操作？,不可以,可以,随便,按需要,A,,接口直采,1,2026/9/18 12:50:37
单选题,使用钻床钻孔时，工件是否需要牢固可靠地装夹？,不需要,需要,大的工件需要,小的工件不需要,B,,接口直采,1,2026/9/18 12:50:37
单选题,世界人口受到的人工辐射源的照射中，居于首位的是：（）,大气层核试验,医疗照射,地下核试验,核能生产,B,,接口直采,1,2026/9/18 12:50:16
单选题,世界卫生组织（WHO）为了指导实验室生物安全，减少实验室事故的发生，于（）年出版了（）（第1版）；1993年，WHO发布了该手册的第2版；2004年，由（）个国家和WHO的生物安全专家和官员对第2版进行重新修订和补充，出版了第3版。,1983，《实验室生物安全手册》，7,1985，《实验室安全手册》，9,1983，《实验室病原微生物安全手册》，7,1985，《实验室生物安全手册》，9,A,,接口直采,1,2026/9/18 12:50:35
单选题,世界卫生组织把感染性微生物分为（）个危害等级，美国CDC和NIH把感染性微生物分为（）个危害等级，中国将病原微生物分为（）类。,"2,2,2","3,3,3","4,4,4","5,5,5",C,,接口直采,1,2026/9/18 12:50:35
单选题,事故应急处置的总目标是通过有效的（），尽可能地降低事故的后果。,安全控制措施,医疗救治,宣传教育,应急处置行动,D,,接口直采,1,2026/9/18 12:50:15
单选题,事故应急处置工作应强调（）的应急准备。,上级单位,本单位,全社会,以上都是,B,,接口直采,1,2026/9/18 12:50:15
单选题,事故应急处置行动必须做到迅速，所谓迅速是要求建立：（）,事故应急预案,事故处理机制,应急响应机制,保障措施,C,,接口直采,1,2026/9/18 12:50:15
单选题,事故应急预案是在事故产生重大灾难（）采取的有效防护措施。,之前,之中,之后,以上都是,A,,接口直采,1,2026/9/18 12:50:15
单选题,事故应急预案现已成为各类突发事故的：（）,安全概述,应急基础,安全保证,基本保证,B,,接口直采,1,2026/9/18 12:50:15
单选题,试管在装溶液加热时应不超过容量的。,1/2,1/3,1/4,1/5,B,,接口直采,1,2026/9/18 12:50:21
单选题,试管在装溶液时应不超过容量的。,1/2,1/3,1/4,1/5,A,,接口直采,1,2026/9/18 12:50:21
单选题,试剂或异物溅入眼内，处理措施正确的是：( ),溴：大量水洗，再用1％NaHCO3溶液洗,酸：大量水洗，用1～2％NaHCO3溶液洗,碱：大量水洗，再以1％硼酸溶液洗,以上都对,D,,接口直采,1,2026/9/18 12:50:15
单选题,室内发生电气火灾，应首先进行：（）,切断电源,报警,灭火,逃跑,A,,接口直采,1,2026/9/18 12:50:37
单选题,室外照明灯具一般应选用（）型灯具。,防水,普通,防爆,开启,A,,接口直采,1,2026/9/18 12:50:37
单选题,室温较高时，有些试剂如氨水等，打开瓶塞的瞬间很易冲出气液流，应先如何处理，再打开瓶塞？,先将试剂瓶在热水中浸泡一段时间,振荡一段时间,先将试剂瓶在冷水中浸泡一段时间,先将试剂瓶颠倒一下,C,,接口直采,1,2026/9/18 12:50:25
单选题,适合于深埋到地下数百米或更深的稳定地层中处置的放射性废物是：（）,极低放废物,低放废物,中放废物,高放废物,D,,接口直采,1,2026/9/18 12:50:16
单选题,适用于饲育清洁级和无特定病原体实验动物的实验动物环境是：（）,普通环境,清洁环境,屏障环境,隔离环境,C,,接口直采,1,2026/9/18 12:50:35
单选题,适用于饲育无特定病原体、悉生及无菌实验动物的实验动物环境是：（）,隔离环境,清洁环境,屏障环境,普通环境,A,,接口直采,1,2026/9/18 12:50:35
单选题,适用于头顶及颞部动脉出血。,颌外动脉压迫止血法,颈总动脉压迫止血法,颞动脉压迫止血法,锁骨下动脉压迫止血法,C,,接口直采,1,2026/9/18 12:50:15
单选题,收集、贮存、运输、利用、处置动物实验室固体废物的单位和个人，必须采取防扬散、防流失、防渗漏或者其他防止（）的措施。,废物泄露,污染环境,废物丢失,污染空气,B,,接口直采,1,2026/9/18 12:50:35
单选题,手动操作数控铣床，为了确定不会超程或撞到机床的其它设施，应检查当前的什么？,刀具的位置,主轴转速,夹具位置,参数设置,A,,接口直采,1,2026/9/18 12:50:37
单选题,受日光照射能发生化学反应引起燃烧、爆炸、分解、化合或能产生有毒气体的危险化学品应储存在室内，包装采取（）措施。,避光,防火,防潮,防爆,A,,接口直采,1,2026/9/18 12:50:25
单选题,数据安全风险评估报告应当至少包含以下哪项内容？,处理者的利润情况,重要数据的种类和数量,员工工资水平,市场推广计划,B,,接口直采,1,2026/9/18 12:50:42
单选题,数据交易中介机构应当审核：,数据买家的信用记录,交易双方的身份,数据卖家的员工数量,数据存储的服务器型号,B,,接口直采,1,2026/9/18 12:50:42
单选题,数控车床在车削加工时必须：（）,关上防护门,不必关上防护门,根据需要可关也可开,关闭电源,A,,接口直采,1,2026/9/18 12:50:37
单选题,数控电火花线切割机床在正常加工时，突然有烧焦气味从机床电器柜中传出，应采取哪种处理措施？,顺着烧焦味道查找,用专用灭火器向电器柜喷射,不与理睬继续加工,关闭机床总电源后查找原因,D,,接口直采,1,2026/9/18 12:50:37
单选题,数控电火花线切割机床在正常加工时，突然有烧焦气味从机床电器柜中传出，应采取哪种处理措施？（）,顺着烧焦味道查找,用专用灭火器向电器柜喷射,不与理睬继续加工,关闭机床总电源后查找原因,D,,接口直采,1,2026/9/18 12:50:37
单选题,四肢大动脉出血或采用加压包扎后不能有效控制的大出血应采用：（）,加压包扎止血法,止血带止血法,指压止血法,按压止血法,B,,接口直采,1,2026/9/18 12:50:15
单选题,四肢小动脉、中小静脉或毛细血管出血应采用：（）,加压包扎止血法,按压止血法,指压止血法,止血带止血法,A,,接口直采,1,2026/9/18 12:50:15
单选题,随机性效应指的是（）与照射剂量的大小有关的一类效应。,严重程度,发生概率,剂量阈值,危险程度,B,,接口直采,1,2026/9/18 12:50:16
单选题,特低电压是指交流（）以下，直流120V以下的电压。,36V,50V,100V,120V,B,,接口直采,1,2026/9/18 12:50:37
单选题,特种设备出现故障或者发生异常情况时，特种设备使用单位应当：（）,停止使用设备，并对其进行全面检查，消除事故隐患，方可继续使用,停止设备，重新启动,继续使用，注意观察,无视，继续使用,A,,接口直采,1,2026/9/18 12:50:30
单选题,提倡文明上网，健康生活，我们不应该有下列哪种行为（ ）。,在网上对其他网友进行人身攻击,自觉抵制网上的虚假、低俗内容，让有害信息无处藏身,浏览合法网站，玩健康网络游戏，并用自己的行动影响周围的朋友,不信谣，不传谣，不造谣,A,,接口直采,1,2026/9/18 12:50:42
单选题,天气较热时，打开腐蚀性液体，应该：( ),直接用手,用毛巾先包住塞子,戴橡胶手套,用纸包住塞子,B,,接口直采,1,2026/9/18 12:50:28
单选题,通常外照射个人剂量监测的周期是：（）,1至2个月,2至3个月,3至6个月,6至12个月,B,,接口直采,1,2026/9/18 12:50:16
单选题,通过呼吸道传播的病原微生物容易引起不同的感染性疾病，因此引起实验室感染的最主要的因素是（）,气溶胶,接触,食入,以上都是,A,,接口直采,1,2026/9/18 12:50:35
单选题,同γ射线一样，（）射线也具有很强的穿透性。因此，大剂量该种射线的短期照射或微弱该种射线的长时间照射都会对身体造成严重的损伤。,a,β,X,激光,C,,接口直采,1,2026/9/18 12:50:16
单选题,头部发生创伤的人员，在送往医院前，采取下列急救措施中，（）是不正确的。,尽量减少不必要的活动,给伤者服止痛片止痛,运送途中应把伤者的头转向一侧，便于清除呕吐物,仔细观察伤者病情变化,B,,接口直采,1,2026/9/18 12:50:15
单选题,头颈部创伤的伤者用以下哪种方法打开气道？,仰头抬颈法,仰头举颏法,压额抬颌法,托颌法,D,,接口直采,1,2026/9/18 12:50:15
单选题,突发事件的特点是：（）,随机性、状态严重性、事发突然性,复杂变异性、事发突然性、高不确定性,潜在危险性、状态严重性、高不确定性,高不确定性、复杂变异性、潜在危险性,D,,接口直采,1,2026/9/18 12:50:15
单选题,外来人员进入剧毒化学品库监控室应填写：（）,出入登记表,危险化学品领用登记表,进入申请表,危险化学品领用申请表,A,,接口直采,1,2026/9/18 12:50:25
单选题,外照射的防护最主要是针对：（）,α射线和中子,中子和β射线,β射线与γ射线,γ射线和中子,D,,接口直采,1,2026/9/18 12:50:16
单选题,万一发生电气火灾，首先应该采取的第一条措施是：( ),打电话报警,切断电源,扑灭明火,求援,B,,接口直采,1,2026/9/18 12:50:37
单选题,网络安全法的施行日期是：,12月31日,6月1日,1月1日,11月7日,B,,接口直采,1,2026/9/18 12:50:42
单选题,网络安全服务体系中，安全服务不包括（ ）。,数据保密服务,访问控制服务,数据完整性服务,数据来源的合法性服务,D,,接口直采,1,2026/9/18 12:50:42
单选题,网络安全涉及范围包括：（）,加密、防黑客,防病毒,法律政策和管理问题,以上均是,D,,接口直采,1,2026/9/18 12:50:33
单选题,网络安全事件应急预案应定期：,修订,演练,公开,删除,B,,接口直采,1,2026/9/18 12:50:42
单选题,网络安全事件总结报告应在处置结束后多少日内上报？,10日,20日,30日,60日,C,,接口直采,1,2026/9/18 12:50:42
单选题,网络运营者收集个人信息时应遵循的原则不包括：,合法,正当,必要,强制,D,,接口直采,1,2026/9/18 12:50:42
单选题,网络运营者违反网络安全法最高可被罚款：,10万元,50万元,100万元,500万元,C,,接口直采,1,2026/9/18 12:50:42
单选题,网络运营者未按时报告事件，造成重大后果的，将：,不予处罚,从重处罚,仅警告,仅罚款,B,,接口直采,1,2026/9/18 12:50:42
单选题,网络运营者未要求用户提供真实身份信息的，最高可罚款：,5万元,50万元,100万元,500万元,B,,接口直采,1,2026/9/18 12:50:42
单选题,网络运营者应当留存网络日志不少于：,3个月,6个月,1年,2年,B,,接口直采,1,2026/9/18 12:50:42
单选题,网络运营者应向哪个部门统一报告网络安全事件？,国家市场监管总局,国家网信部门,地方工信局,商务部,B,,接口直采,1,2026/9/18 12:50:42
单选题,网页病毒主要通过以下途径传播。( ),邮件,文件交换,网络浏览,光盘,C,,接口直采,1,2026/9/18 12:50:42
单选题,网页恶意代码通常利用( )来实现植入并进行攻击。,口令攻击,U盘工具,IE浏览器的漏洞,拒绝服务攻击,C,,接口直采,1,2026/9/18 12:50:42
单选题,网站的安全协议是https时，该网站浏览时会进行( )处理。,口令验证,增加访问标记,身份验证,加密,D,,接口直采,1,2026/9/18 12:50:42
单选题,往玻璃管上套橡皮管（塞）时，不正确的做法是：( ),管端应烧圆滑,用布裹手或带厚手套，以防割伤手,可以使用薄壁玻管,加点水或润滑剂,C,,接口直采,1,2026/9/18 12:50:21
单选题,危险化学废弃物处理原则有哪些？,尽可能减少废弃物的产生,能通过回收、提纯的方法再利用的，首先应采取有效方法进行回收再利用,不能进行再利用和无害化处理的危险化学废弃物必须严格按学校和学院规定分类处理,以上均是,D,,接口直采,1,2026/9/18 12:50:20
单选题,危险化学废物处理的原则是：（）,自行处理,按生活垃圾处理,预处理后按生活垃圾处理,分类收集、定点存放、专人管理、集中处理,D,,接口直采,1,2026/9/18 12:50:20
单选题,危险化学品包括哪些物质？,爆炸品、易燃气体、易燃喷雾剂， 氧化性气体，加压气体,易燃液体，易燃固体，自反应物质，可自燃液体，自燃自热物质，遇水放出易燃气体的物质,氧化性液体，氧化性固体，有机过氧化物，腐蚀性物质,以上都是,D,,接口直采,1,2026/9/18 12:50:25
单选题,危险化学品的毒害包括：( ),皮肤腐蚀性/刺激性，眼损伤/眼刺激,急性中毒致死，器官或呼吸系统损伤，生殖细胞突变性，致癌性,"水环境危害性, 放射性危害",以上都是,D,,接口直采,1,2026/9/18 12:50:25
单选题,危险化学品的急性毒性表述中，半致死量LD50代表什么意义？,致死量,导致一半受试动物死亡的量,导致一半受试动物死亡的浓度,导致全部受试动物死亡的浓度,B,,接口直采,1,2026/9/18 12:50:25
单选题,危险化学品的容器或包装物应有清晰的：（）,联系人信息,化学品安全技术说明书,用途性质,标识或标签,D,,接口直采,1,2026/9/18 12:50:25
单选题,危险化学品管理方面，邮政管理部门负责：（）,依法查处寄递危险化学品的行为,发现危险化学品事故隐患,对危险化学品水路运输安全实施监督,危险化学品道路运输许可,A,,接口直采,1,2026/9/18 12:50:25
单选题,危险化学品空瓶应如何处理？,与普通废液一起处理,按生活垃圾处理,按危险废物暂存，待集中处理,以上都不对,C,,接口直采,1,2026/9/18 12:50:20
单选题,危险化学品泄漏处置中社会联动要求高是由于：（）,危险化学品泄漏现场处置需要消防、公安、武警、医疗救护、市政公用部门、交通运输部门、环保等多部门共同参与，才能完善处置,危险化学品泄漏现场处置需要所有人员穿戴个人防护衣服,危险化学品泄漏现场处置需要所有人员佩戴防护面具,危险化学品泄漏现场处置需要所有现场人员远离事故现场,A,,接口直采,1,2026/9/18 12:50:15
单选题,危险化学品应按（），在满足储存技术要求的专用储存柜分类存放。,化学性质,供货商,购买日期,物理形态,A,,接口直采,1,2026/9/18 12:50:25
单选题,危险源辨识时，从存在的能量和有害物质及其场所进行第（ ）类危险源辨识。,一,二,三,四,A,,接口直采,1,2026/9/18 12:50:27
单选题,微生物操作中释放的较大粒子和液滴（）会迅速沉降到工作台面和操作者的手上。实验室人员在操作时，应戴一次性手套，并避免触摸口、眼及面部。,直径>2μm,直径>3μm,直径>4μm,直径>5μm,D,,接口直采,1,2026/9/18 12:50:35
单选题,微生物的种类繁多，但能够与人和动物宿主有动态关系的微生物的数量是有限的，已知的大约有（）种。,400,1000,1200,1500,B,,接口直采,1,2026/9/18 12:50:35
单选题,微生物对消毒剂的抵抗力从高到低的顺序是：（）,细菌芽孢一分枝杆菌-亲水性病毒一真菌孢子一真菌繁殖体一细菌繁殖体-亲脂性病毒,细菌芽孢一真菌孢子一分枝杆菌-亲水性病毒一真菌繁殖体一细菌繁殖体-亲脂性病毒,细菌芽孢一分枝杆菌-真菌孢子-亲水性病毒一真菌繁殖体-细菌繁殖体-亲脂性病毒,真菌孢子-细菌芽孢一分枝杆菌一亲水性病毒一真菌繁殖体一细菌繁殖体一亲脂性病毒,B,,接口直采,1,2026/9/18 12:50:35
单选题,微生物培养后废弃物灭菌处理的温度和时间通常为：（）,"100℃,15min","121℃,15min","150℃,30min","180℃,30min",B,,接口直采,1,2026/9/18 12:50:20
单选题,违反本法向境外提供重要数据，最高可罚款：,10万元,100万元,500万元,1000万元,D,,接口直采,1,2026/9/18 12:50:42
单选题,违反国家规定，侵入国家事务、国防建设、尖端科学技术领域的计算机信息系统的，处（ ）以下有期徒刑或者拘役。,1年,2年,3年,6年,C,,接口直采,1,2026/9/18 12:50:42
单选题,为保护听力，建筑物理实验室工作人员所处环境的噪声，在任何情况下均不得超过？,115dB(A),100dB(A),95dB(A),85dB(A),A,,接口直采,1,2026/9/18 12:50:37
单选题,为保障安全，须贮存于煤油中的金属是：（）,钠,镁,铁,铜,A,,接口直采,1,2026/9/18 12:50:25
单选题,为避免被接种物洒落，微生物接种环的直径应为（）并完全封闭，柄的长度应（）以减小抖动。,"2∼3mm,<6cm","2∼3mm,>6cm","4∼6mm,<6cm","4∼6mm,>6cm",A,,接口直采,1,2026/9/18 12:50:35
单选题,为避免误食有毒的化学药品，以下说法正确的是：( ),可把食物、食具带进化验室,在实验室内可吃口香糖,使用化学药品后须先洗净双手方能进食,实验室内可以吸烟,C,,接口直采,1,2026/9/18 12:50:27
单选题,为达成放射卫生防护与管理要求，放射性实验室应采取“三区配置”，即将放射性实验室整体划分为：（）,放射性活性区、中间区、非放射性活性区,高活性区、中活性区、低活性区和清洁区,监督区、中间区、非限制区,工作区、观察区、准备区,C,,接口直采,1,2026/9/18 12:50:16
单选题,为防止触电，数控电火花线切割机床的工作灯采用了安全电压，其电压值为：（）,110V,24V,220V,380V,B,,接口直采,1,2026/9/18 12:50:37
单选题,为防止静电火花引起事故，凡是用来加工、储存各种易燃气体、液体的设备金属管、非导电材料管都必须：（）,有足够小的电阻,有足够大的电阻,可靠接地,绝缘,C,,接口直采,1,2026/9/18 12:50:37
单选题,为了安全，须贮存于煤油中的金属是：( ),钠,铝,铁,钙,A,,接口直采,1,2026/9/18 12:50:25
单选题,为了防范垃圾电子邮件，互联网电子邮件服务提供者应当按照信息产业部制定的技术标准建设互联网电子邮件服务系统，电子邮件服务器( )匿名转发功能。,使用,开启,关闭,,C,,接口直采,1,2026/9/18 12:50:42
单选题,为了防御网络监听，最常用的方法是 ( )。,采用物理传输(非网络),信息加密,无线网,使用专线传输,B,,接口直采,1,2026/9/18 12:50:42
单选题,为了防止各种各样的病毒对计算机系统造成危害，可以在计算机上安装防病毒软件，并注意及时()以保证能防止和查杀新近出现的病毒。,升级,分析,检查,以上都不对,A,,接口直采,1,2026/9/18 12:50:42
单选题,为了防止在开启或关闭玻璃容器时发生危险，下列哪一种瓶塞不适宜作为盛放具有爆炸危险性物质的玻璃容器的瓶塞？,软木塞,磨口玻璃塞,胶皮塞,橡胶塞,B,,接口直采,1,2026/9/18 12:50:25
单选题,为了鼓励用户对违规电子邮件发送行为进行举报，发动全社会的监督作用，信息产业部委托中国互联网协会设立了互联网电子邮件举报受理中心，其举报电话是010-12321，举报电子邮箱地址为( )。,abuse@anti-spam.cn,register@china-cic.org,member@china-cic.org,,A,,接口直采,1,2026/9/18 12:50:42
单选题,为消除静电危害，可采取的有效措施是：（）,绝缘,屏护,间距,接地,D,,接口直采,1,2026/9/18 12:50:37
单选题,未经中心洁净室规范培训的来访人员如需进入中心洁净室，应该（）,不准进入,填写临时进出申请表后，可以随意进出,填写临时进出申请表并由中心工作人员签字后，由有门禁权限的人员全程陪同,,C,,接口直采,1,2026/9/18 12:50:40
单选题,文艺青年张小五写了一部反映社会现实的小说，发表后引起热烈反响，好评如潮。甲网站觉得有利可图，擅自将该小说发布在网络上，供网民在线阅读。该网站侵犯了张小五的哪种著作权?( ),发表权,信息网络传播权,复制权,发行权,B,,接口直采,1,2026/9/18 12:50:42
单选题,我国第一部关于实验室生物安全的国家标准是于（）年由中华人民共和国国家质量监督检验检疫总局和中国国家标准化管理委员会颁布的（），具有里程碑的意义。,1998，《生物医学实验室生物安全准则》,2000，《病原微生物分类及生物安全》,2002，《微生物和生物医学实验室生物安全通用准则》,2004，《实验室一生物安全通用要求》,D,,接口直采,1,2026/9/18 12:50:35
单选题,我国对放射性事故中的受照人员的分级救治实行（）医疗救治体系。,二级,三级,四级,五级,B,,接口直采,1,2026/9/18 12:50:16
单选题,我国规定，安全电压最高是：（）。,50V,42V,36V,24V,B,,接口直采,1,2026/9/18 12:50:37
单选题,我国目前将生物安全防护水平分为（）个级别，（）生物安全防护水平最低，（）生物安全防护水平最高。,3，I级，II级,4，I级，IV级,3，III级，I级,4，IV级，I级,B,,接口直采,1,2026/9/18 12:50:35
单选题,我国气体钢瓶常用的颜色标记中，氮气的瓶身和标字颜色分别为：（）,黑、蓝,黄、黑,黑、黄,蓝、黑,C,,接口直采,1,2026/9/18 12:50:23
单选题,我国气体钢瓶常用的颜色标记中，氮气的瓶身颜色和标字颜色分别是：（）,黑色、蓝色,黄色、黑色,黑色、黄色,蓝色、黑色,C,,接口直采,1,2026/9/18 12:50:23
单选题,我国气体钢瓶常用的颜色标记中，乙炔的瓶身颜色和标字颜色分别是：（）,黑色、蓝色,黄色、黑色,白色、大红色,蓝色、黑色,C,,接口直采,1,2026/9/18 12:50:23
单选题,我国生物安全领域的第一个行业标准是于（）年经卫生部批准并颁布的卫生行业标准：（）,1998，《生物医学实验室生物安全准则》,2000，《病原微生物分类及生物安全》,2002，《微生物和生物医学实验室生物安全通用准则》,2004，《实验室-生物安全通用要求》,C,,接口直采,1,2026/9/18 12:50:35
单选题,我们国家最严重的职业病是（ ）,尘肺病,金属中毒,振动病,中暑,A,,接口直采,1,2026/9/18 12:50:27
单选题,我们所使用的手机的频段一般为1800MHz，其电场强度H控制限值是(),4kV/m,12V/m,12kV/m,4 V/m,B,,接口直采,1,2026/9/18 12:50:16
单选题,污染有朊粒蛋白的感染性废液应当用含（）处理1h。,4％戊二醛,10％福尔马林,96％甲酸,含2％有效氯的次氯酸钠,D,,接口直采,1,2026/9/18 12:50:35
单选题,吸入后与血红蛋白反应会造成身体组织缺氧。,氮气,一氧化碳,氧气,二氧化碳,B,,接口直采,1,2026/9/18 12:50:25
